,resource_name,resource_type,action,date
0,ACR-SP-credentials,Variable group,created,2025-04-26_16:30
1,dataEngineeringApps,Service connection,created,2025-04-26_16:30
0,ACR-SP-credentials,Variable group,deleted,2025-04-26_16:30
1,dataEngineeringApps,Service connection,deleted,2025-04-26_16:30
0,ACR-SP-credentials,Variable group,created,2025-04-28_21:52
1,dataEngineeringApps,Service connection,created,2025-04-28_21:52
0,ACR-SP-credentials,Variable group,deleted,2025-04-28_21:59
1,dataEngineeringApps,Service connection,deleted,2025-04-28_21:59
0,ACR-SP-credentials,Variable group,created,2025-04-28_21:59
1,dataEngineeringApps,Service connection,created,2025-04-28_21:59
0,ACR-SP-credentials,Variable group,deleted,2025-04-28_22:00
1,dataEngineeringApps,Service connection,deleted,2025-04-28_22:00
0,ACR-SP-credentials,Variable group,created,2025-04-28_22:00
1,dataEngineeringApps,Service connection,created,2025-04-28_22:00
0,ACR-SP-credentials,Variable group,deleted,2025-04-28_22:01
1,dataEngineeringApps,Service connection,deleted,2025-04-28_22:01
0,ACR-SP-credentials,Variable group,created,2025-04-28_22:01
1,dataEngineeringApps,Service connection,created,2025-04-28_22:01
0,ACR-SP-credentials,Variable group,deleted,2025-04-28_22:23
1,dataEngineeringApps,Service connection,deleted,2025-04-28_22:23
0,ACR-SP-credentials,Variable group,created,2025-04-29_08:38
1,dataEngineeringApps,Service connection,created,2025-04-29_08:38
0,ACR-SP-credentials,Variable group,deleted,2025-04-29_09:08
1,dataEngineeringApps,Service connection,deleted,2025-04-29_09:08
0,ACR-SP-credentials,Variable group,created,2025-05-01_12:09
1,dataEngineeringApps,Service connection,created,2025-05-01_12:09
0,ACR-SP-credentials,Variable group,deleted,2025-05-01_13:48
1,dataEngineeringApps,Service connection,deleted,2025-05-01_13:48
0,ACR-SP-credentials,Variable group,created,2025-05-01_13:48
1,dataEngineeringApps,Service connection,created,2025-05-01_13:48
0,ACR-SP-credentials,Variable group,deleted,2025-05-01_13:48
1,dataEngineeringApps,Service connection,deleted,2025-05-01_13:48
0,ACR-SP-credentials,Variable group,created,2025-05-01_13:49
1,dataEngineeringApps,Service connection,created,2025-05-01_13:49
0,ACR-SP-credentials,Variable group,deleted,2025-05-01_13:54
1,dataEngineeringApps,Service connection,deleted,2025-05-01_13:54
0,ACR-SP-credentials,Variable group,deleted,2025-05-01_13:55
1,dataEngineeringApps,Service connection,deleted,2025-05-01_13:55
0,ACR-SP-credentials,Variable group,created,2025-05-01_13:55
1,dataEngineeringApps,Service connection,created,2025-05-01_13:55
0,ACR-SP-credentials,Variable group,deleted,2025-05-01_14:07
1,dataEngineeringApps,Service connection,deleted,2025-05-01_14:07
0,ACR-SP-credentials,Variable group,deleted,2025-05-01_14:08
1,dataEngineeringApps,Service connection,deleted,2025-05-01_14:08
0,ACR-SP-credentials,Variable group,created,2025-05-01_14:10
1,dataEngineeringApps,Service connection,created,2025-05-01_14:10
0,ACR-SP-credentials,Variable group,deleted,2025-05-01_14:17
1,dataEngineeringApps,Service connection,deleted,2025-05-01_14:17
0,ACR-SP-credentials,Variable group,created,2025-05-01_14:17
1,dataEngineeringApps,Service connection,created,2025-05-01_14:17
0,ACR-SP-credentials,Variable group,deleted,2025-05-01_14:41
1,dataEngineeringApps,Service connection,deleted,2025-05-01_14:41
0,ACR-SP-credentials,Variable group,created,2025-05-01_14:41
1,dataEngineeringApps,Service connection,created,2025-05-01_14:41
0,ACR-SP-credentials,Variable group,deleted,2025-05-01_14:44
1,dataEngineeringApps,Service connection,deleted,2025-05-01_14:44
0,ACR-SP-credentials,Variable group,created,2025-05-01_14:44
1,dataEngineeringApps,Service connection,created,2025-05-01_14:44
0,ACR-SP-credentials,Variable group,deleted,2025-05-02_10:07
1,dataEngineeringApps,Service connection,deleted,2025-05-02_10:07
0,ACR-SP-credentials,Variable group,created,2025-05-02_10:11
1,dataEngineeringApps,Service connection,created,2025-05-02_10:11
0,ACR-SP-credentials,Variable group,deleted,2025-05-02_11:24
1,dataEngineeringApps,Service connection,deleted,2025-05-02_11:24
0,ACR-SP-credentials,Variable group,created,2025-05-02_11:24
1,dataEngineeringApps,Service connection,created,2025-05-02_11:24
0,ACR-SP-credentials,Variable group,deleted,2025-05-02_11:25
1,dataEngineeringApps,Service connection,deleted,2025-05-02_11:25
0,ACR-SP-credentials,Variable group,created,2025-05-02_11:25
1,dataEngineeringApps,Service connection,created,2025-05-02_11:25
0,ACR-SP-credentials,Variable group,deleted,2025-05-02_11:35
1,dataEngineeringApps,Service connection,deleted,2025-05-02_11:35
0,ACR-SP-credentials,Variable group,created,2025-05-05_13:52
1,dataEngineeringApps,Service connection,created,2025-05-05_13:52
0,ACR-SP-credentials,Variable group,deleted,2025-05-05_14:02
1,dataEngineeringApps,Service connection,deleted,2025-05-05_14:02
0,ACR-SP-credentials,Variable group,created,2025-05-08_13:38
1,dataEngineeringApps,Service connection,created,2025-05-08_13:38
0,ACR-SP-credentials,Variable group,deleted,2025-05-08_13:48
1,dataEngineeringApps,Service connection,deleted,2025-05-08_13:48
